edad,ingreso_mensual_usd,n_dependientes,historial_credito,monto_solicitado_usd,tipo_prestamo,plazo_prestamo_meses,empleo_estable,propietario_vivienda,historial_endeudamiento,educacion,prestamo_aprobado
67,2847.7290575331135,1,malo,4412.305927305788,automotriz,48,0,1,23.197899945560327,tecnica,0
26,2299.505397292194,4,regular,7078.790106084276,hipotecario,24,0,0,5.564429658162746,secundaria,0
43,1893.7602152285313,0,bueno,5993.329468454749,personal,12,1,1,26.868752232028935,secundaria,0
70,3740.942038025313,3,regular,4686.985938329254,hipotecario,60,1,0,24.861685979665005,tecnica,0
19,4527.533312376105,2,bueno,7616.631661782871,automotriz,12,0,0,16.74701075676436,tecnica,0
37,1881.145940944687,2,malo,6478.611681664594,hipotecario,60,0,1,36.19813234242322,secundaria,1
45,3450.3753893524568,2,bueno,6632.678311876688,personal,36,1,0,13.818268376527357,secundaria,1
64,2479.4859447025383,4,regular,4178.730616038398,hipotecario,12,0,0,18.310135018451582,tecnica,0
24,2610.2996929882434,1,regular,3985.232636507803,automotriz,48,1,1,27.68648087968198,universitaria,0
61,2526.084860608905,3,regular,1600.0805586339575,hipotecario,24,0,0,20.767629503307216,tecnica,0
25,2308.807384256147,4,bueno,4481.216488125488,automotriz,48,0,1,6.155768456415636,universitaria,1
64,3038.8173023558616,3,malo,6870.784107596256,automotriz,24,0,0,21.837993729934297,secundaria,1
52,2335.2399068711698,3,malo,4591.813405968826,hipotecario,12,1,1,15.856102080347673,secundaria,1
31,3216.365460623871,1,bueno,5891.0776930580105,automotriz,12,0,1,28.569962449162634,universitaria,1
34,2959.8095124406905,2,regular,7222.39871330656,automotriz,24,1,1,21.512183439951396,tecnica,0
53,2808.8415625068724,1,malo,5745.665983597264,personal,36,0,1,20.94507653047391,secundaria,0
67,2273.9490703667216,4,regular,5941.029523521604,personal,60,1,0,9.517488362809484,universitaria,0
57,2538.582935545334,4,bueno,2284.3550759248915,personal,48,1,0,17.699746920859944,tecnica,0
21,3604.312980660605,4,regular,4354.8704317960455,personal,48,0,1,29.701010940126537,universitaria,1
19,3400.7337500995045,1,malo,8453.253012993191,automotriz,48,1,0,12.23463655458629,tecnica,0
23,2217.955804161159,3,malo,5207.594362192187,hipotecario,12,1,0,19.67449776912286,tecnica,0
71,3079.465844343381,3,regular,8793.47636399315,automotriz,48,1,0,10.635539483509904,tecnica,0
59,3601.109698697431,0,bueno,3553.768738722106,automotriz,60,1,1,8.161573589483309,tecnica,1
21,1664.4757751029026,4,regular,5467.894904269079,automotriz,60,0,0,19.151409550106475,universitaria,0
71,3434.688153903948,3,bueno,4234.6431248962635,hipotecario,24,0,0,21.738011648773384,universitaria,0
46,2469.9009928433225,0,regular,6183.969370249106,personal,12,0,1,39.93862939232595,universitaria,0
35,3456.4789348745276,3,malo,6790.017336120241,automotriz,60,1,0,15.44539616153791,universitaria,0
43,2389.3926747659866,4,bueno,6204.932191401801,automotriz,36,1,1,19.498307323661177,universitaria,0
61,1556.0943194683848,2,bueno,7083.704287496057,personal,12,0,1,7.499264820290751,tecnica,1
51,1697.9660496934698,4,bueno,4973.654022955347,automotriz,12,0,1,26.12240014906914,secundaria,0
27,3038.4679573291055,1,malo,4618.943264672645,hipotecario,60,1,0,23.980947793532806,secundaria,1
53,3207.7780013771853,3,regular,1483.6139854480566,automotriz,36,0,0,34.883946776914286,universitaria,0
31,2276.5466999164732,3,malo,6276.901870329129,automotriz,24,0,1,31.116221515087087,universitaria,0
48,3510.8739670218993,1,bueno,5344.368184480314,personal,60,1,1,23.51406668842283,secundaria,1
65,1670.783950184832,1,regular,4864.170524874934,automotriz,36,0,1,15.299285004112996,tecnica,0
32,2947.136161082147,2,malo,4618.36518909131,automotriz,12,1,1,22.046684378900604,universitaria,0
25,2031.1870401900346,3,bueno,4926.24087731242,hipotecario,36,0,1,18.88986537868239,tecnica,1
31,2478.5311137582726,3,bueno,4527.527737004166,personal,12,1,1,29.533975332379796,secundaria,0
40,3037.9189370531312,2,malo,3943.9323228733906,personal,60,1,0,28.262314899624684,secundaria,1
74,2311.6693077728382,0,malo,5479.177761448337,hipotecario,60,1,1,17.035845563452447,universitaria,0
57,2692.35556461614,2,malo,5968.318237865906,automotriz,48,1,1,5.380062201731221,tecnica,0
38,3805.0342473715523,4,bueno,3458.8641712276385,personal,48,1,1,33.33387300220424,universitaria,0
33,2538.486504381481,3,malo,4198.528861625218,personal,48,0,0,25.81873956823205,secundaria,1
62,3668.5536896521135,1,bueno,4590.756497470263,automotriz,60,0,0,16.80509929427331,tecnica,0
35,2096.2345162739057,4,malo,5009.62661475357,automotriz,24,0,0,25.42873348103671,universitaria,1
64,3423.8433423322263,3,bueno,4743.629060828465,personal,60,1,0,20.74861306250029,universitaria,1
70,4153.25489652632,2,bueno,6319.4423993127875,automotriz,36,0,1,33.18617926219474,universitaria,0
41,1022.6843998981685,4,regular,1695.2659685923813,personal,60,1,0,0.702197681949734,secundaria,0
43,2362.483795623619,3,malo,2049.925603319766,automotriz,60,1,1,16.028090334865674,universitaria,0
42,3461.657701744432,0,malo,5387.138798507156,automotriz,12,0,1,35.990545154786886,tecnica,0
62,2837.5636911656056,0,bueno,3794.6283043444228,hipotecario,12,1,1,25.631984034673124,universitaria,0
58,3296.916698697047,1,bueno,6768.484611547621,automotriz,12,0,1,37.72606668314208,secundaria,0
46,2516.8118506273436,3,bueno,7339.601905177101,hipotecario,60,1,1,7.781929068365356,universitaria,1
32,3069.27182997832,0,regular,5467.494352845821,automotriz,24,1,1,30.721967159384874,secundaria,1
62,2875.458211686336,2,regular,2856.0501674516418,personal,36,0,0,30.12224423453833,secundaria,1
18,3934.225649327846,3,bueno,7109.187032454118,personal,36,1,0,3.182714646711659,tecnica,1
42,3203.5366746409704,2,malo,5397.805324300654,automotriz,24,0,0,17.04497710466916,tecnica,0
24,3270.0821296601616,2,malo,2026.1280549457647,automotriz,24,1,0,18.934708948059168,universitaria,0
26,2670.498427102026,0,regular,2202.9607038696313,personal,36,0,0,3.8044397123259444,secundaria,1
41,2609.9150207420053,3,regular,8033.89357941729,automotriz,48,1,1,17.25397673479561,secundaria,0
18,2653.9534497443033,4,bueno,7702.271826522459,hipotecario,12,0,0,28.73183140778606,tecnica,1
61,3315.5617139026376,0,malo,-34.2862841924898,hipotecario,12,0,0,16.0907694047526,tecnica,0
25,2663.21241534379,0,bueno,2284.4182094842463,hipotecario,36,1,0,22.421331556740263,universitaria,0
41,3231.8198855171304,3,regular,7281.710991243311,hipotecario,24,0,1,22.493702827276522,secundaria,1
28,4660.3206389163515,3,malo,4963.014823213904,hipotecario,48,1,1,19.87856588861234,tecnica,1
68,3696.8997627453537,2,malo,6403.698570984186,automotriz,36,1,1,12.948179759745713,universitaria,0
34,2739.181174265727,3,regular,4876.094507803807,automotriz,12,0,0,26.58813974883898,secundaria,1
25,3960.971137731156,2,bueno,6308.984980142408,hipotecario,60,0,0,4.129662384740085,secundaria,0
52,2673.539701582759,0,bueno,5011.667093330867,automotriz,24,0,0,20.085881385081827,tecnica,0
52,1369.5003718577168,1,malo,4124.783486486067,automotriz,60,0,0,33.854863405180886,universitaria,1
50,2193.530951266077,4,regular,7117.487659829619,hipotecario,36,0,0,15.526267501587846,tecnica,0
22,1503.3664631793154,0,malo,5404.109232051292,automotriz,12,1,1,12.726787784977226,universitaria,0
59,2718.789212766953,3,regular,6304.777432487133,automotriz,48,0,0,27.255161387753777,secundaria,0
56,3014.734703351641,4,bueno,5314.895849921533,automotriz,60,1,1,21.63431760587132,universitaria,0
58,4341.149849820226,1,regular,4027.2862129003743,hipotecario,48,0,0,27.454472820569325,universitaria,0
45,3261.5418990113303,1,bueno,8216.778622714384,automotriz,12,0,1,20.384984856952723,universitaria,0
24,2824.7195769529085,2,regular,5709.936509515332,personal,60,0,1,-3.8829245075117953,universitaria,0
26,3663.5244649467913,4,malo,4289.902711255697,personal,48,1,1,31.79913410425699,universitaria,1
25,1231.091752793692,2,bueno,7556.658940637431,hipotecario,48,0,1,40.70026382478275,tecnica,0
29,3188.491646486853,0,malo,2358.3524522420857,personal,60,1,0,32.840410068362864,universitaria,1
51,3616.6921551095734,4,malo,9472.567301591973,hipotecario,12,1,0,-15.388577250697594,universitaria,0
50,1817.1310033761267,0,bueno,4641.700484673143,personal,48,1,0,24.510882125055666,secundaria,0
65,3915.003234565543,2,bueno,2463.971585233247,personal,36,0,1,15.332541894249538,universitaria,0
72,3270.797125995531,4,malo,8811.88269691513,personal,60,1,0,9.15756246388291,secundaria,0
40,2667.769668879359,2,malo,4073.664773854417,hipotecario,24,0,0,21.22732161638273,tecnica,0
41,3506.225492885028,4,malo,5486.489139711254,hipotecario,24,1,0,18.510527051002793,tecnica,0
54,4816.554286243517,2,malo,6435.381482878927,automotriz,12,0,0,25.08657804279841,universitaria,0
52,3145.493004046796,1,bueno,7368.345055320291,hipotecario,36,1,1,20.56580189305454,tecnica,0
61,3198.576469040269,2,bueno,5599.549127443129,personal,48,0,1,8.791878931110231,universitaria,0
57,2632.511280367805,1,malo,3705.3691833399257,personal,24,0,0,14.233982232570291,tecnica,0
39,2320.124504428167,2,regular,5437.9850466679845,hipotecario,12,0,0,12.62041443674984,universitaria,0
44,3664.2686532353964,4,regular,4161.368909336557,hipotecario,36,1,0,2.8351682325555387,universitaria,1
52,2315.1329392729062,4,bueno,5498.0233527290475,hipotecario,36,1,1,6.283553560461165,secundaria,0
18,3057.252989775514,4,malo,8256.299091513716,automotriz,12,0,1,17.889313301148057,secundaria,0
52,2617.874042587907,3,malo,6511.850383287588,personal,12,1,1,34.23754075307279,secundaria,0
54,3383.1838605971134,0,bueno,5413.292876196678,automotriz,48,1,0,14.644429203012052,secundaria,1
64,3266.9296842295585,4,regular,6476.981665212681,automotriz,12,1,1,12.425692252472103,universitaria,0
31,3830.0319554063194,1,regular,6620.161303818371,personal,48,1,1,8.18713193327174,tecnica,1
20,2591.9868809162026,4,regular,2844.2517940625494,personal,48,1,1,20.305364949953507,universitaria,0
18,2784.100051765303,3,bueno,5083.445422431396,hipotecario,60,1,1,31.792593346101263,secundaria,1
22,2216.989027374154,1,regular,10125.055318665032,hipotecario,36,1,1,40.026827664085914,secundaria,1
43,2644.5653919391107,3,bueno,7425.6419700637325,automotriz,36,0,0,22.85399376721687,tecnica,1
72,3301.8403944358815,1,bueno,3993.1288816776005,hipotecario,36,0,0,21.399937426364346,secundaria,0
31,3605.5908933162814,2,malo,3793.5842077647567,hipotecario,60,1,0,14.565268927464569,universitaria,0
56,2262.2677406578996,0,regular,3726.9485536487955,personal,48,0,0,16.234333785089888,universitaria,0
44,3695.684736084528,0,bueno,6732.639900524115,personal,48,0,1,26.29175091050703,universitaria,0
26,4084.5102870439605,3,regular,8215.281842232434,hipotecario,12,0,0,16.851246679369204,universitaria,1
32,3330.7479225789607,0,regular,6164.334088960116,personal,60,1,0,18.37717552832586,universitaria,0
32,4501.436650046453,3,malo,5314.3246997376355,hipotecario,12,1,0,19.746527252495756,tecnica,0
43,2380.9686407171416,3,regular,4111.689284734457,personal,60,1,1,14.09171889092524,universitaria,0
59,2004.2762373508663,3,malo,5658.746291167054,personal,12,1,0,19.250207409224487,secundaria,0
30,1577.023800876577,0,bueno,3359.7565598075807,personal,24,1,1,-0.19406128790801702,secundaria,0
68,4196.835449191347,3,regular,1128.468905577523,personal,36,0,1,25.488358830184623,secundaria,1
49,3523.492525083246,0,bueno,8273.651380224897,hipotecario,36,1,1,43.51771838972055,secundaria,0
56,2955.532263271636,3,regular,2988.3746592757816,automotriz,48,0,0,14.479563848369335,tecnica,0
66,3223.974901055856,4,bueno,4350.335252661362,personal,24,1,1,23.738371450016697,secundaria,0
69,2099.6087621612987,3,regular,6312.714901258581,hipotecario,36,0,0,28.515763202461848,tecnica,0
49,4956.601583693461,1,regular,7868.933738692107,hipotecario,48,1,0,32.802152727174615,secundaria,0
21,3103.376945580182,3,regular,5514.261304837242,personal,24,1,0,17.356785112598207,tecnica,0
47,3087.5158356839142,2,regular,2612.5780246783434,automotriz,36,1,1,1.966827463112807,tecnica,1
54,3580.6132991189534,3,regular,4397.3071006168975,personal,12,1,1,22.67231950848763,tecnica,1
40,3384.8073853893707,1,regular,3643.0291899498416,hipotecario,60,1,0,21.28628690654427,secundaria,1
56,3179.107219423305,1,regular,4923.577945057358,automotriz,24,1,1,16.54333625323997,tecnica,0
62,2367.6204356437506,0,regular,7463.968942539272,hipotecario,48,0,1,18.664878771156594,universitaria,1
32,3377.1746857087965,4,regular,-74.77719213976798,personal,24,1,1,21.436804450177313,universitaria,1
60,4505.619597180027,3,bueno,4177.220339945018,automotriz,48,0,0,23.617619921038504,secundaria,1
46,4076.336036923982,0,malo,4031.9007272259632,hipotecario,24,1,1,23.198097102399178,universitaria,0
53,4274.549301311517,4,regular,2486.4773102087206,hipotecario,48,0,1,17.823143404988713,universitaria,1
30,2591.027458855052,3,malo,6170.981487499233,hipotecario,36,0,0,23.84278834985951,universitaria,1
49,2208.3161437931353,2,regular,2170.0482562479037,personal,12,0,1,17.14969151725138,secundaria,1
24,2899.3704639202815,3,regular,2400.2114414073503,automotriz,36,0,0,26.4202550153532,secundaria,0
68,3044.5799298309557,1,bueno,6702.138428041228,personal,12,0,1,13.725571645234991,universitaria,1
39,3875.3532147767587,1,bueno,8001.142737925336,personal,36,0,1,20.730581921495624,secundaria,1
45,1646.0282962281444,2,malo,4847.806462776081,personal,36,1,1,3.762614178827704,tecnica,0
19,4223.640255568491,0,bueno,2565.207762021468,automotriz,24,0,1,16.300895305428526,universitaria,0
59,2873.5936811368083,4,bueno,3588.8918164435,personal,60,1,1,25.674887211299787,secundaria,1
62,2658.495144042064,3,malo,7016.00389449009,personal,48,1,1,9.662651332919314,secundaria,0
74,2190.316499791866,1,bueno,5232.876481326787,personal,48,0,0,16.798995236499163,universitaria,0
70,1676.1146625073845,0,regular,4797.922446236154,personal,48,0,1,-4.050695499102094,secundaria,0
23,3658.5364671695315,2,malo,5626.099419826292,hipotecario,12,1,1,6.319258914680109,universitaria,1
45,3058.654373750723,1,malo,4924.680112949119,personal,48,0,1,8.935254438860982,secundaria,0
45,1968.031280207157,2,regular,8091.4245953184345,hipotecario,48,0,0,21.017510507716388,tecnica,0
61,1963.9369823491072,3,bueno,3501.713470612798,personal,24,0,0,23.334090123927126,universitaria,0
61,2731.3722405678973,4,malo,3272.081766329573,automotriz,36,0,0,19.43944434059803,tecnica,1
37,4335.217220231514,1,malo,2233.092963862688,hipotecario,48,0,1,16.174066171126217,universitaria,0
47,2792.326918909116,1,regular,3920.0247285486194,hipotecario,60,0,1,16.208982516512528,secundaria,1
28,1797.4856375055151,3,regular,2816.049050667691,hipotecario,48,0,0,27.160457490404944,tecnica,1
72,2803.4055487312444,0,bueno,5436.151017305448,hipotecario,12,1,0,22.12819846883053,secundaria,0
45,2781.8211442018637,4,malo,5041.894731050287,automotriz,12,0,0,16.660544036946376,universitaria,0
42,842.4906856467428,1,bueno,2841.848999864047,personal,12,1,1,32.932994952412585,universitaria,0
56,2956.56410678575,4,bueno,6178.278718055945,hipotecario,48,1,0,39.49975040996101,universitaria,0
50,2815.2523758330576,1,regular,8033.625734259747,automotriz,24,1,1,7.542575497663297,universitaria,0
18,3556.9650918507346,4,malo,5715.676697342047,hipotecario,60,1,1,25.225100702105117,universitaria,1
74,4479.164875956276,2,malo,-86.99636591094713,personal,48,0,1,50.89889607686385,tecnica,1
44,3901.252023638206,1,malo,8974.26194134021,hipotecario,24,1,0,22.802055410501943,universitaria,0
74,2784.8890475561357,4,regular,6493.846938142119,automotriz,24,1,1,21.154426361642766,secundaria,0
69,2114.779273006664,0,regular,8912.836506376902,personal,48,1,0,19.442660601063864,tecnica,0
30,5058.687842599888,2,regular,7181.447172299668,automotriz,48,1,0,24.901815174907412,secundaria,0
58,3047.3747472115906,2,regular,7581.030837741118,personal,24,1,0,27.54899166549883,universitaria,0
20,3011.143433530357,0,regular,5410.533787202169,personal,24,0,0,7.552331258308174,secundaria,1
56,2980.6999303119974,4,malo,4475.407975620335,personal,24,0,1,19.735163717111714,tecnica,1
23,3158.467808614284,3,bueno,5746.962375464321,hipotecario,48,1,1,-2.6949786449740962,tecnica,0
25,2884.511670460846,0,malo,3582.4298395069213,automotriz,24,0,1,17.906833833785,tecnica,1
44,2541.070394495811,4,bueno,5867.761701800465,automotriz,12,0,1,10.973114061779272,secundaria,0
26,2562.512847007686,0,regular,-253.5725147014209,automotriz,48,1,0,23.391775791354842,tecnica,1
54,2973.7973838272014,0,bueno,5085.864490428826,personal,12,1,0,3.4361947285897436,secundaria,0
50,2565.260183092988,1,malo,7689.352240204265,hipotecario,36,1,0,14.876826895409053,universitaria,0
68,2429.7233738582686,4,malo,5188.6171578579315,personal,48,0,0,29.665442505206123,universitaria,1
59,3085.1441821535172,3,bueno,8454.965476061976,automotriz,36,1,1,13.236668485557498,secundaria,0
61,2796.018226063316,1,regular,4472.509224302789,hipotecario,24,0,0,0.9506422258211416,tecnica,1
41,4203.194390866151,0,regular,7005.301825975655,hipotecario,24,0,1,22.575331531289844,secundaria,0
32,879.2241532855905,0,malo,3243.459852653268,hipotecario,60,0,0,14.13471006907364,secundaria,0
71,3873.2054815379693,0,bueno,6923.913239110757,automotriz,24,1,0,18.141145639271034,secundaria,0
49,3996.8681539981035,4,regular,5465.189816455633,hipotecario,36,0,0,12.701304135374077,universitaria,0
49,1341.2878140734804,4,regular,4560.499008314542,hipotecario,24,1,0,39.74396744480029,secundaria,0
41,2725.849924735721,1,malo,-147.7642301288397,personal,48,1,1,4.419272641464866,universitaria,0
58,2702.8473072033667,3,regular,4491.2464483889,personal,24,1,1,48.33495611894273,secundaria,0
69,1873.990644225743,1,bueno,5426.906038559621,hipotecario,60,1,1,16.093634692486482,universitaria,0
66,2377.7466499272996,2,malo,6657.418870439835,hipotecario,24,1,1,21.834465762181352,secundaria,1
66,2111.539323627337,0,malo,8121.899598198135,personal,36,0,0,14.252035823955163,secundaria,0
69,4401.816354738898,0,bueno,9070.065402731821,personal,36,0,0,13.833664401445459,tecnica,1
29,3748.5427145179688,0,malo,7492.534686245968,personal,24,0,1,12.151700965673669,tecnica,0
56,4017.244075995327,1,regular,3875.8193493916115,automotriz,36,0,1,26.012579620436355,secundaria,0
19,3577.337651234588,1,regular,4390.391820964522,automotriz,36,0,0,5.8920030637294385,secundaria,0
20,2096.758583026217,0,bueno,6477.830942087367,personal,60,1,0,23.64108544242669,secundaria,0
66,2580.383786976181,1,regular,6039.2289196956035,hipotecario,48,1,1,-1.8449273505180876,secundaria,0
54,3391.4996489823343,4,bueno,8256.691918782722,personal,60,0,1,22.735287711417637,tecnica,0
66,2022.2977528864437,4,bueno,9958.778837419823,automotriz,12,0,1,28.49142605932191,universitaria,0
73,3570.3987441379104,1,regular,9534.360390196445,hipotecario,60,0,0,7.254808926926305,secundaria,0
34,2807.739681473492,0,bueno,7987.876399596689,automotriz,24,1,1,26.78742601718744,tecnica,1
66,2700.143353960322,1,regular,6055.805297885794,hipotecario,48,1,1,20.513854106243215,secundaria,0
19,3568.767974562793,1,malo,7698.650125891689,automotriz,24,1,1,35.9842645535784,secundaria,0
19,3355.410649188832,1,malo,8322.882027456792,hipotecario,12,0,1,11.447936176889101,universitaria,0
45,2711.227067344736,2,bueno,4705.399205489963,hipotecario,48,0,1,48.1598590372273,secundaria,1
71,3927.4638426913984,4,regular,3934.6780549824816,hipotecario,36,0,0,-3.907821543252375,secundaria,0
40,2135.149337920082,3,regular,3465.1579998566503,hipotecario,60,0,1,16.704961993638744,universitaria,0
54,3492.748485555411,3,malo,3247.230533109393,automotriz,24,1,0,3.014302893770669,universitaria,0
49,3474.4810063747072,2,malo,2236.0093548136188,automotriz,12,0,1,38.51054176849766,universitaria,0
50,2752.362848548808,1,regular,5499.803418235455,hipotecario,36,0,1,17.382990061841635,universitaria,0
18,3260.9064177936943,2,bueno,3000.4943978237366,hipotecario,60,0,1,18.283149226307174,tecnica,1
36,1999.1091388917575,2,malo,3432.9556317292354,automotriz,36,1,0,24.43238098085213,tecnica,0
19,3739.221615365521,0,bueno,6402.511118353455,hipotecario,60,1,0,19.951948136727125,tecnica,0
70,2852.0782908456085,4,bueno,5363.21813250702,hipotecario,48,0,0,14.062384435986653,secundaria,0
61,2581.8215835847686,3,malo,5859.249881267349,hipotecario,36,1,1,7.4335274937095175,universitaria,0
43,3839.2073806695116,1,bueno,7730.297523784163,personal,36,1,1,21.685134023334292,universitaria,0
49,2436.5250475657926,3,bueno,6729.05981708159,hipotecario,36,1,0,23.788336326894783,tecnica,0
23,1873.2309629091524,3,regular,8037.773162905326,personal,48,1,0,26.95377236401729,secundaria,0
49,1754.696661180877,4,bueno,5159.952989556141,hipotecario,12,1,1,39.127268503065224,secundaria,0
72,3484.8079610765117,3,regular,8223.581182624792,automotriz,60,0,0,-1.7376890441399198,secundaria,0
21,1975.6565180029736,3,malo,5719.47352871492,personal,36,0,1,19.322828026472955,tecnica,1
72,4403.835345587491,2,malo,5337.412522190406,personal,48,0,0,31.91737835821428,secundaria,0
28,1334.4564736930224,4,regular,7923.052412553006,hipotecario,12,1,0,18.754775755611355,secundaria,0
73,4357.165094632031,0,malo,3255.69264161341,hipotecario,60,1,0,-3.381724536932701,secundaria,0
34,3168.8139737620945,1,bueno,9047.20113508495,personal,48,1,1,7.089604251500791,universitaria,0
55,2922.629510503686,3,bueno,4435.799959925428,automotriz,60,1,1,23.285698496773193,tecnica,0
41,2564.06473055284,1,bueno,2563.7840569013565,automotriz,36,0,0,22.921972948833407,universitaria,0
22,3319.3088914816567,0,malo,6307.003904111724,hipotecario,12,0,1,26.725196983410207,universitaria,1
69,2969.892238060121,1,bueno,4245.356979763479,automotriz,48,0,1,12.189910564518158,tecnica,1
51,3882.6415056132173,0,malo,9051.614183822501,automotriz,12,0,1,22.59883234919298,universitaria,0
23,3091.382118929632,2,bueno,4134.198362429705,hipotecario,36,0,1,10.541366921036753,secundaria,1
39,3120.2414091695023,3,regular,5628.897834703924,automotriz,12,0,0,22.59957993643691,secundaria,1
